1893,45,50,51,44,56,44,42,45,47,38,45,44,48,45,49,52,44,47,+45,"39
129",58,76/-,49,5,52,58,58,5%,61-,49-,,499.
1894,"55
45",45,45,50,56,59,47,50,58,54,49,49,45,44,42,45,48,52,,73,,72,56,62,"70
76",60,50,46,,44,,53.5
1895,60,,55,36,40,54,67,67,60,50,55,,63,50,89,,79,55,54,"52
F",70,76,76,,74,24,,55,3,,,"60.4
60.6"
1896,49,,49,,60,55,49,46,59,41,42,50,,43,40,45,47,42,52,,62,62,56,"3
61",,56,47,,,,,
1897,43,40,46,50,52,47,47,55,67,55,53,60,66,67,71,75,78,81,47,51,,53,52,65,76,68,52,54,63,25,,
1898,51,42,51,,64,52,48,67,56,55,,,69,66,,19,56,52,62,,52,,73,60,75,,61,63,,69,,"583
584"
1899,45,49,48,47,52,53,64,70,19,50,52,44,44,56,72,45,49,,"50
56",19,48,49,53,69,65,44,46,51,52,,,
1900,75,70,53,53,61,65,63,50,50,60,65,66,54,54,56,63,66,66,60,65,57,53,42,62,60,,48,72,128,25,,"60.6
6703"
1901,45,43,OH,40,42,42,44,52,56,62,60,57,56,56,53,56,60,56,61,54,53,68,59,56,54,51,56,64,63,66,,"542
5416"
1902,66,20,62,53,65,65,69,55,43,49,55,58,48,53,59,65,63,63,61,52,55,56,55,,,95,54,"7
60",61,52,,5713
1903,43,47,50,47,44,45,51,50,38,40,49,48,59,53,57,62,,51,56,,67,64,60,69,78,63,99,55,59,,,548
1904,55,62,31,48,54,45,52,19,71,20,76,82,81,75,57,64,64,,,52,48,46,58,,20,79,69,59,48,58,,"61.2
6/15"
1905,52,50,,70,20,44,57,54,51,56,63,65,,59,59,54,60,58,QG,58,65,69,76,,69,68,52,55,576,,,607
1906,45,58,57,63,67,20,62,63,64,58,63,58,"L
67",68,22,"66
56","56
to 6",65,72,82,86,82,65,52,#9,64,21,20,,71,,"656
652
60"
1907,53,55,53,50,42,45,19,52,53,63,71,,72,79,59,59,59,4-7,54,99,67,67,,45,56,54,,52,59,65,,"58.1
560"
1908,44,55,45,48,46,40,47,,57,64,68,69,66,64,64,55,-57,67,80,,70,55,3,46,50,,,54,65,72,,57.5
1909,57,49,49,44,47,50,54,65,59,42,,3.9,54,,5:3,55,50,19,59,54,53,"L
59",53,,19,55,50,44,sh,54,,53.2
1910,40,40,48,52,9.8,60,48,9.9,57,39,67,57,36,30,31,65,,85,,,56,8,83,86,88,75,65,29,39,,,64.0
9/1,60,45,40,41,43,35,55,61,J2,33,"37
5-7",40,45,2.9,"60.
G",52,55,45,54,67,63,61,70,73,"J
65°",,3.9,,59,99,,6%2
2,64,69,54,46,471,60,62,65,74,55,57,44,42,45,52,40,57,48,37,45,47,52,54,46,51,57,56,52,55,50,,53.5
